station_name,api_station_id,gtfs_stop_id,weight
Kobenhavn H,8600626,UNKNOWN,0.5
Norreport St,8600646,UNKNOWN,0.5
Osterport St,8600650,UNKNOWN,0.5
Valby St,8600624,UNKNOWN,0.5
Flintholm St,8600736,UNKNOWN,0.5
Hellerup St,8600655,UNKNOWN,0.5
Lyngby St,8600675,UNKNOWN,0.5
Hvidovre St,8600600,UNKNOWN,0.5
Ballerup St,8600708,UNKNOWN,0.5
Roskilde St,8600617,UNKNOWN,0.5
Kastrup Lufthavn St,8603327,UNKNOWN,0.5
Orestad St,8600856,UNKNOWN,0.5
Kobenhavn Syd St,8600783,UNKNOWN,0.5
Gentofte St,8600673,UNKNOWN,0.5
Svanemollen St,8600654,UNKNOWN,0.5
Nordhavn St,8600653,UNKNOWN,0.5
Holte St,8600677,UNKNOWN,0.5
Hillerod St,8600683,UNKNOWN,0.5
Taastrup St,8600620,UNKNOWN,0.5
Glostrup St,8600622,UNKNOWN,0.5
