stop_id,stop_name,stop_lat,stop_lon
000410187400,Middelfart Station (Middelfart Kommune),55.502297,9.734552
000461034600,Stenløsevej (Odense Kommune),55.364989,10.39181
000461105500,Landbrugsvej (Odense Kommune),55.369784,10.393746
000515000101,Haderslev Busstation,55.252388,9.489946
000551922507,Billund Lufthavn / Billund Airport ,55.746578,9.148243
000571507301,Rosen Allé (Ribe),55.331515,8.770885
000607300902,"Erritsø, Snoghøj Landevej v Snaremosevej",55.538668,9.717055
000621400109,Kolding Busterminal,55.492126,9.483073
000621403501,Fynsvej v Marielundskolen (Kolding),55.494138,9.487735
000621403521,Fynsvej v Castenskjoldsvej (Kolding),55.495823,9.491175
000621405111,Fynsvej v Gammel Kongevej (Kolding),55.497165,9.494801
000631200102,Vejle Trafikcenter,55.705934,9.536312
000709000701,Hadsten St./Østergade,56.327403,10.048025
000727000701,Odder Busterminal,55.971459,10.149951
000731601003,Randers Busterminal,56.45851,10.039624
000779079101,Skive Trafikterminal,56.561884,9.026212
000823000102,Hobro Busterminal (H.I. Biesgade),56.639313,9.796871
000823102901,Viborg Landevej (Rævebakken/Mariagerfjord Kommune),56.5994,9.793262
